condition,seed_id,n_gen,vendi
gemma_t10,543,51,2.458649158477783
gemma_t10,1105,51,3.302558422088623
gemma_t10,1587,51,2.422901153564453
gemma_t10,17355,51,2.6878232955932617
gemma_t10,20744,51,2.5089423656463623
gemma_t10,39011,51,3.059753179550171
gemma_t10,41263,51,2.8066201210021973
gemma_t10,61274,51,2.611300230026245
gemma_t10,89639,51,3.993035078048706
gemma_t10,92327,51,2.9703776836395264
gemma_t10,94285,51,3.0856552124023438
gemma_t10,96824,51,2.6740126609802246
gemma_t10,106054,51,3.4861161708831787
gemma_t10,115174,51,4.4723591804504395
gemma_t10,122829,51,2.421398162841797
gemma_t10,126584,51,2.893141269683838
gemma_t10,133195,51,3.6405038833618164
gemma_t10,138716,51,1.9584226608276367
gemma_t10,139787,51,2.1579837799072266
gemma_t10,141282,51,2.5300183296203613
gemma_t10,142368,51,2.299057960510254
gemma_t10,146843,51,3.752824544906616
gemma_t10,151184,51,2.907172203063965
gemma_t10,162169,51,1.7220165729522705
gemma_t10,173611,51,2.8839216232299805
gemma_t10,203279,51,2.608042001724243
gemma_t10,207468,51,2.30147385597229
gemma_t10,217895,51,2.3366544246673584
gemma_t10,220553,51,2.520289659500122
gemma_t10,223637,51,2.362112045288086
gemma_t10,230735,51,2.4580631256103516
gemma_t10,235645,51,2.1713225841522217
gemma_t10,247735,51,2.675558567047119
gemma_t10,256149,51,2.4914135932922363
gemma_t10,259144,51,2.9537274837493896
gemma_t10,306227,51,3.620452880859375
gemma_t10,326903,51,3.3303797245025635
gemma_t10,337390,51,3.3782315254211426
gemma_t10,338760,51,3.3123693466186523
gemma_t10,340852,51,2.51507830619812
gemma_t10,384520,51,2.9516546726226807
gemma_t10,406026,51,2.9439754486083984
gemma_t10,414569,51,3.8592770099639893
gemma_t10,437687,51,2.538983106613159
gemma_t10,441563,51,3.535991907119751
gemma_t10,472478,51,2.639577865600586
gemma_t10,497108,51,2.755286455154419
gemma_t10,524450,51,3.2379150390625
gemma_t10,557620,51,2.7079432010650635
gemma_t10,560565,51,2.3088159561157227
gemma_t10,574574,51,3.272329092025757
gemma_t10,577805,51,2.471555471420288
gemma_t10,600412,51,4.4289870262146
gemma_t10,605706,51,2.4630353450775146
gemma_t10,617993,51,5.155038356781006
gemma_t10,630188,51,2.682044744491577
gemma_t10,631855,51,3.417799711227417
gemma_t10,652921,51,2.244126796722412
gemma_t10,687037,51,3.1090481281280518
gemma_t10,696805,51,2.7323591709136963
gemma_t10,725590,51,2.7643792629241943
gemma_t10,744471,51,2.2201709747314453
gemma_t10,747342,51,2.837390184402466
gemma_t10,767485,51,2.0524423122406006
gemma_t10,836219,51,3.60387921333313
gemma_t10,842881,51,4.457937717437744
gemma_t10,845121,51,2.632948637008667
gemma_t10,857321,51,2.1561567783355713
gemma_t10,862713,51,2.783639669418335
gemma_t10,870211,51,2.402855157852173
gemma_t10,881437,51,2.668523073196411
gemma_t10,905565,51,4.371489524841309
gemma_t10,930231,51,2.734060525894165
gemma_t10,931054,51,3.155888080596924
gemma_t10,940795,51,2.4784843921661377
gemma_t10,950358,51,1.9907203912734985
gemma_t10,955518,51,2.3419113159179688
gemma_t10,969555,51,3.2557332515716553
gemma_t10,989439,51,2.3592777252197266
gemma_t10,1040556,51,2.978783130645752
gemma_t10,1044865,51,2.141615390777588
gemma_t10,1066490,51,2.3994386196136475
gemma_t10,1077383,51,4.2920732498168945
gemma_t10,1104123,51,3.6680476665496826
gemma_t10,1117579,51,3.6290647983551025
gemma_t10,1125916,51,3.367387294769287
gemma_t10,1137329,51,2.555530548095703
gemma_t10,1139225,51,2.3491945266723633
gemma_t10,1139492,51,2.936058282852173
gemma_t10,1234375,51,3.1189494132995605
gemma_t10,1240016,51,2.639167070388794
gemma_t10,1254267,51,3.4290730953216553
gemma_t10,1260035,51,3.4260165691375732
gemma_t10,1267472,51,2.5767083168029785
gemma_t10,1269020,51,2.4182755947113037
gemma_t10,1311547,51,2.21213436126709
gemma_t10,1336493,51,2.776061534881592
gemma_t10,1356505,51,3.266784429550171
gemma_t10,1389483,51,3.642782211303711
gemma_t10,1434196,51,2.7985315322875977
gemma_t10,1499080,51,2.0467493534088135
gemma_t10,1508909,51,2.5269381999969482
gemma_t10,1511192,51,2.1866812705993652
gemma_t10,1541076,51,3.8353445529937744
gemma_t10,1553193,51,3.046675443649292
gemma_t10,1563223,51,4.061990737915039
gemma_t10,1564278,51,2.7762744426727295
gemma_t10,1567400,51,2.1283159255981445
gemma_t10,1570443,51,2.4758284091949463
gemma_t10,1642392,51,2.266596794128418
gemma_t10,1662415,51,3.947218418121338
gemma_t10,1675452,51,2.8669512271881104
gemma_t10,1689426,51,3.0571634769439697
gemma_t10,1707814,51,3.401637077331543
gemma_t10,1762731,51,3.210979461669922
gemma_t10,1766244,51,2.5711822509765625
gemma_t10,1770102,51,3.29253888130188
gemma_t10,1774259,51,3.3506510257720947
gemma_t10,1828592,51,2.1953394412994385
gemma_t10,1828713,51,3.7924084663391113
gemma_t10,1848109,51,3.3022727966308594
gemma_t10,1854889,51,3.6020634174346924
gemma_t10,1862889,51,3.2659337520599365
gemma_t10,1880070,51,3.2359931468963623
gemma_t10,1919756,51,3.6777737140655518
gemma_t10,1929239,51,3.8639440536499023
gemma_t10,1966079,51,3.5150158405303955
gemma_t10,1969767,51,3.510399103164673
gemma_t10,1992250,51,2.2741198539733887
gemma_t10,2012188,51,2.182021141052246
gemma_t10,2021980,51,2.2273924350738525
gemma_t10,2061169,51,2.4386415481567383
gemma_t10,2061341,51,3.3813891410827637
gemma_t10,2131938,51,3.866973400115967
gemma_t10,2140766,51,2.9285223484039307
gemma_t10,2146847,51,3.0164589881896973
gemma_t10,2159818,51,3.6917505264282227
gemma_t10,2162648,51,3.5476877689361572
gemma_t10,2162860,51,2.464293956756592
gemma_t10,2201909,51,2.561169147491455
gemma_t10,2204603,51,2.6111905574798584
gemma_t10,2204967,51,2.4317257404327393
gemma_t10,2213896,51,2.816547393798828
gemma_t10,2216180,51,2.8538899421691895
gemma_t10,2228719,51,3.035005569458008
gemma_t10,2233498,51,2.8404879570007324
gemma_t10,2250656,51,2.4286880493164062
gemma_t10,2267179,51,2.0875344276428223
gemma_t10,2271146,51,2.5081984996795654
gemma_t10,2302492,51,2.995575428009033
gemma_t10,2303379,51,2.7952749729156494
gemma_t10,2317858,51,3.0433871746063232
gemma_t10,2318481,51,2.880265712738037
gemma_t10,2325074,51,2.6900694370269775
gemma_t10,2334067,51,2.5898635387420654
gemma_t10,2367456,51,2.2580373287200928
gemma_t10,2380086,51,2.9306163787841797
gemma_t10,2390655,51,3.2012553215026855
gemma_t10,2418468,51,2.8218936920166016
gemma_t10,2425494,51,2.6900346279144287
gemma_t10,2426309,51,2.9627528190612793
gemma_t10,2434362,51,3.3351354598999023
gemma_t10,2454882,51,2.3733713626861572
gemma_t10,2493033,51,3.409365653991699
gemma_t10,2496355,51,3.0356528759002686
gemma_t10,2556949,51,3.6881401538848877
gemma_t10,2574224,51,2.3141233921051025
gemma_t10,2592133,51,4.060131549835205
gemma_t10,2593903,51,2.7771408557891846
gemma_t10,2597568,51,2.574125051498413
gemma_t10,2623009,51,2.638429641723633
gemma_t10,2625301,51,2.4559340476989746
gemma_t10,2654931,51,3.67138409614563
gemma_t10,2717698,51,3.424683094024658
gemma_t10,2742513,51,3.182622194290161
gemma_t10,2760254,51,2.5803914070129395
gemma_t10,2782776,51,2.674137830734253
gemma_t10,2783746,51,3.3308444023132324
gemma_t10,2790679,51,3.708927631378174
gemma_t10,2797612,51,2.75162410736084
gemma_t10,2812117,51,2.718785524368286
gemma_t10,2816661,51,4.086740016937256
gemma_t10,2820782,51,3.7982068061828613
gemma_t10,2839348,51,2.616966724395752
gemma_t10,2844066,51,1.9844205379486084
gemma_t10,2867243,51,2.015631914138794
gemma_t10,2868247,51,2.0488767623901367
gemma_t10,2882092,51,3.5465891361236572
gemma_t10,2887257,51,3.0324349403381348
gemma_t10,2897037,51,2.9524004459381104
gemma_t10,2905151,51,2.1360182762145996
gemma_t10,2937095,51,3.559901475906372
gemma_t10,2944650,51,3.7615950107574463
gemma_t10,2948298,51,3.1046841144561768
gemma_t10,2952144,51,2.726351261138916
gemma_t10,2973141,51,2.0494821071624756
gemma_t10,2986205,51,2.888288736343384
gemma_t10,2990483,51,2.5107624530792236
gemma_t10,3016990,51,3.860459327697754
gemma_t10,3033303,51,2.747284173965454
gemma_t10,3051772,51,2.7954299449920654
gemma_t10,3063394,51,1.6900570392608643
gemma_t10,3065236,51,2.894176959991455
gemma_t10,3083231,51,3.4861671924591064
gemma_t10,3089175,51,2.4982388019561768
gemma_t10,3101865,51,4.297197341918945
gemma_t10,3127682,51,3.016803503036499
gemma_t10,3130692,51,2.6007001399993896
gemma_t10,3132651,51,4.299203872680664
gemma_t10,3144258,51,2.8109426498413086
gemma_t10,3160937,51,2.5771377086639404
gemma_t10,3202289,51,3.2877516746520996
gemma_t10,3221856,51,2.471781015396118
gemma_t10,3222040,51,2.843553304672241
gemma_t10,3257353,51,3.852701425552368
gemma_t10,3262717,51,2.886627435684204
gemma_t10,3265924,51,4.195003509521484
gemma_t10,3274110,51,3.7719666957855225
gemma_t10,3278107,51,3.5787267684936523
gemma_t10,3282953,51,2.8581416606903076
gemma_t10,3291104,51,2.2707505226135254
gemma_t10,3295641,51,2.9778873920440674
gemma_t10,3351788,51,2.5293002128601074
gemma_t10,3401524,51,2.2877588272094727
gemma_t10,3413244,51,2.407580852508545
gemma_t10,3426453,51,2.911353826522827
gemma_t10,3438497,51,5.155018329620361
gemma_t10,3504755,51,2.782496452331543
gemma_t10,3510042,51,1.87082839012146
gemma_t10,3514435,51,2.658600091934204
gemma_t10,3526062,51,2.124800443649292
gemma_t10,3526501,51,2.5120718479156494
gemma_t10,3527244,51,3.3391335010528564
gemma_t10,3527842,51,2.7819409370422363
gemma_t10,3536005,51,2.9667017459869385
gemma_t10,3555187,51,2.495629072189331
gemma_t10,3565485,51,2.301255226135254
gemma_t10,3576631,51,2.7566945552825928
gemma_t10,3598758,51,2.6483473777770996
gemma_t10,3623373,51,3.0227866172790527
gemma_t10,3641676,51,3.280345916748047
gemma_t10,3656086,51,2.4237852096557617
gemma_t10,3662564,51,2.8916544914245605
gemma_t10,3666937,51,2.524125337600708
gemma_t10,3677429,51,2.911989212036133
gemma_t10,3718988,51,2.2231409549713135
gemma_t10,3792324,51,2.4549925327301025
gemma_t10,3806582,51,2.848104238510132
gemma_t10,3882054,51,2.946443557739258
gemma_t10,3896491,51,2.516730308532715
gemma_t10,3913537,51,4.120139122009277
gemma_t10,3932228,51,2.360884428024292
gemma_t10,3933075,51,3.031780481338501
gemma_t10,4248450,51,2.9673845767974854
gemma_t10,4310945,51,2.658216953277588
gemma_t10,4311707,51,2.808858633041382
gemma_t10,4354069,51,1.8180747032165527
gemma_t10,4406182,51,2.7678115367889404
gemma_t10,4411469,51,4.33474588394165
gemma_t10,4460159,51,3.420689105987549
gemma_t10,4547415,51,3.458491563796997
gemma_t10,4588148,51,3.497951030731201
gemma_t10,4623739,51,2.558704376220703
gemma_t10,4654482,51,2.370372772216797
gemma_t10,4698173,51,3.000746250152588
gemma_t10,4702087,51,3.182698965072632
gemma_t10,4715568,51,2.35563063621521
gemma_t10,4732544,51,3.5969767570495605
gemma_t10,4792796,51,3.218602418899536
gemma_t10,4829361,51,2.547093152999878
gemma_t10,4859003,51,3.1243600845336914
gemma_t10,4891749,51,2.2230167388916016
gemma_t10,4894130,51,2.8933355808258057
gemma_t10,4895939,51,2.4466187953948975
gemma_t10,4899062,51,2.746006965637207
gemma_t10,4929974,51,2.145057439804077
gemma_t10,4936344,51,2.4958035945892334
gemma_t10,4942335,51,3.6335315704345703
gemma_t10,4948322,51,3.8372185230255127
gemma_t10,4953145,51,2.92151141166687
gemma_t10,4956100,51,2.7833096981048584
gemma_t10,4957155,51,2.8590786457061768
gemma_t10,4975368,51,3.111815929412842
gemma_t10,4981128,51,2.4691736698150635
gemma_t10,5001921,51,2.492799758911133
gemma_t10,5013006,51,3.276405096054077
gemma_t10,5016370,51,2.723153829574585
gemma_t10,5019682,51,3.22214937210083
gemma_t10,5020278,51,2.552417755126953
gemma_t10,5033484,51,4.486870765686035
gemma_t10,5053850,51,3.1132917404174805
gemma_t10,5062433,51,3.2983639240264893
gemma_t10,5066019,51,2.2342889308929443
gemma_t10,5068376,51,2.282151222229004
gemma_t10,5068554,51,1.8299224376678467
gemma_t10,5068596,51,3.660698890686035
gemma_t10,5071138,51,2.649524211883545
gemma_t10,5073886,51,2.2680928707122803
gemma_t10,5092868,51,2.5442183017730713
gemma_t10,5112038,51,2.639615535736084
gemma_t10,5118729,51,3.360137701034546
gemma_t10,5125975,51,2.9884371757507324
gemma_t10,5163433,51,5.310827732086182
gemma_t10,5165773,51,3.3616890907287598
gemma_t10,5165854,51,3.283856153488159
gemma_t10,5187426,51,2.862459897994995
gemma_t10,5191821,51,3.120512008666992
gemma_t10,5204434,51,2.943443775177002
gemma_t10,5213476,51,2.3186166286468506
gemma_t10,5234044,51,2.40350341796875
gemma_t10,5241137,51,4.050273418426514
gemma_t10,5247929,51,3.524156332015991
gemma_t10,5252401,51,2.8751983642578125
gemma_t10,5252952,51,3.58186674118042
gemma_t10,5267356,51,1.8890128135681152
gemma_t10,5403702,51,3.3049209117889404
gemma_t10,5410083,51,3.457490921020508
gemma_t10,5462493,51,2.629166841506958
gemma_t10,5509911,51,3.3697805404663086
gemma_t10,5519060,51,3.9935414791107178
gemma_t10,5535381,51,2.093140125274658
gemma_t10,5557854,51,2.1864943504333496
gemma_t10,5591459,51,4.076113700866699
gemma_t10,5617603,51,2.7009897232055664
gemma_t10,5628616,51,4.439090251922607
gemma_t10,5632184,51,2.281519889831543
gemma_t10,5636935,51,3.1441307067871094
gemma_t10,5649853,51,2.817539930343628
gemma_t10,5673925,51,2.6036832332611084
gemma_t10,5729159,51,3.30503249168396
gemma_t10,5737359,51,2.432077646255493
gemma_t10,5740960,51,2.8073787689208984
gemma_t10,5761781,51,3.5133321285247803
gemma_t10,5776384,51,2.060572624206543
gemma_t10,5779419,51,2.4748435020446777
gemma_t10,5802667,51,2.712855577468872
gemma_t10,5815755,51,3.0296990871429443
gemma_t10,5816303,51,3.0000760555267334
gemma_t10,5818711,51,3.1005702018737793
gemma_t10,5821457,51,3.1961536407470703
gemma_t10,5825949,51,3.468411445617676
gemma_t10,5859332,51,2.2846662998199463
gemma_t10,5968971,51,4.205028057098389
gemma_t10,5993783,51,1.9488685131072998
gemma_t10,6008960,51,3.7358763217926025
gemma_t10,6118285,51,2.0337064266204834
gemma_t10,6157828,51,2.153010845184326
gemma_t10,6183556,51,2.4485528469085693
gemma_t10,6197592,51,4.10415506362915
gemma_t10,6206777,51,2.2959513664245605
gemma_t10,6222768,51,3.6557672023773193
gemma_t10,6235360,51,2.9766790866851807
gemma_t10,6237722,51,2.8509113788604736
gemma_t10,6246116,51,4.101241111755371
gemma_t10,6246996,51,2.4921436309814453
gemma_t10,6249194,51,3.1068108081817627
gemma_t10,6263378,51,2.946286916732788
gemma_t10,6278207,51,2.906479597091675
gemma_t10,6311642,51,2.2700436115264893
gemma_t10,6359641,51,2.4868757724761963
gemma_t10,6360322,51,3.5376381874084473
gemma_t10,6364632,51,2.014676332473755
gemma_t10,6380915,51,2.4052388668060303
gemma_t10,6397026,51,2.1560513973236084
gemma_t10,6428039,51,2.85782790184021
gemma_t10,6430837,51,2.8867037296295166
gemma_t10,6441832,51,3.375840425491333
gemma_t10,6452487,51,1.8591091632843018
gemma_t10,6453515,51,1.9400417804718018
gemma_t10,6468765,51,3.2051165103912354
gemma_t10,6506243,51,2.4545109272003174
gemma_t10,6508854,51,2.9322495460510254
gemma_t10,6529193,51,2.71352481842041
gemma_t10,6532096,51,2.4362986087799072
gemma_t10,6540287,51,3.201054811477661
gemma_t10,6541910,51,3.2652926445007324
gemma_t10,6551751,51,2.600802421569824
gemma_t10,6561519,51,2.187879800796509
gemma_t10,6618571,51,4.406527042388916
gemma_t10,6627923,51,3.4179892539978027
gemma_t10,6660863,51,2.9269633293151855
gemma_t10,6666052,51,2.2566308975219727
gemma_t10,6683636,51,2.1169731616973877
gemma_t10,6713076,51,4.339714050292969
gemma_t10,6728280,51,2.266981363296509
gemma_t10,6737909,51,2.3588674068450928
gemma_t10,6772589,51,2.3179502487182617
gemma_t10,6797800,51,2.7818000316619873
gemma_t10,6803340,51,2.7271015644073486
gemma_t10,6879481,51,1.9022526741027832
gemma_t10,6881637,51,3.228370428085327
gemma_t10,6922426,51,2.1888208389282227
gemma_t10,6981674,51,2.689375162124634
gemma_t10,7013414,51,2.0728776454925537
gemma_t10,7074119,51,2.1596267223358154
gemma_t10,7100502,51,2.552490472793579
gemma_t10,7139779,51,2.827770471572876
gemma_t10,7146903,51,2.882843494415283
gemma_t10,7172294,51,3.762056827545166
gemma_t10,7182393,51,2.751603603363037
gemma_t10,7197241,51,3.4107398986816406
gemma_t10,7197724,51,2.630547046661377
gemma_t10,7212585,51,2.782689332962036
gemma_t10,7218315,51,3.082448720932007
gemma_t10,7294125,51,2.0108423233032227
gemma_t10,7294316,51,3.21103835105896
gemma_t10,7311195,51,3.2555294036865234
gemma_t10,7397938,51,2.700153112411499
gemma_t10,7403346,51,3.024139404296875
gemma_t10,7410732,51,2.1524624824523926
gemma_t10,7413367,51,2.1821188926696777
gemma_t10,7417943,51,2.9917166233062744
